rest_id,kind,name,address,area_m2,lon,lat,source_file
R-00143,cool_shelter,책달샘숲속작은도서관,서울특별시 금천구 독산로54길 188 (금천구민문화체육센터),12.0,126.907263,37.470138,03_seoul_cool_shelter.csv
R-00144,cool_shelter,독산1동주민센터,서울특별시 금천구 독산동 시흥대로123길  11   (독산동),108.0,126.8970489,37.4702215,03_seoul_cool_shelter.csv
R-00145,cool_shelter,관악청소년센터,서울특별시 관악구 신림로23길 17 (관악청소년센터),4941.0,126.935234,37.47023,03_seoul_cool_shelter.csv
R-00146,cool_shelter,서초구립우면주공아파트경로당,"서울특별시 서초구 바우뫼로7길 11 (우면동, 우면주공아파트)",141.0,127.0242356,37.4702685,03_seoul_cool_shelter.csv
R-00147,cool_shelter,우면종합사회복지관,서울특별시 서초구 바우뫼로7길 11 (우면주공아파트 사회복지회관),20.0,127.024168,37.470289,03_seoul_cool_shelter.csv
R-00148,cool_shelter,은천2단지(아)경로당,서울특별시 관악구 인헌12길 46-1 (은천아파트 204동),99.0,126.96477,37.470365,03_seoul_cool_shelter.csv
R-00149,cool_shelter,난곡경로당,서울특별시 관악구  난곡로31길  38   (신림동),305.0,126.918345,37.4704392,03_seoul_cool_shelter.csv
R-00150,cool_shelter,원신경로당,서울특별시 관악구 양지10길 15-1,214.0,126.927994,37.47045,03_seoul_cool_shelter.csv
R-00151,cool_shelter,대학동주민센터,서울특별시 관악구 신림로 111 (신림동),1184.0,126.936964,37.470602,03_seoul_cool_shelter.csv
R-00152,cool_shelter,양재2동주민센터,서울특별시 서초구 강남대로12길 44 (양재동),104.0,127.0412121,37.470657,03_seoul_cool_shelter.csv
R-00153,cool_shelter,건영2차(아)경로당,서울특별시 관악구 난곡로35길 28-7 (건영아파트 라동),123.0,126.916847,37.47072,03_seoul_cool_shelter.csv
R-00154,cool_shelter,예수비전교회,서울특별시 금천구 가산로 9,17.0,126.901751,37.470857,03_seoul_cool_shelter.csv
R-00155,cool_shelter,방죽1시니어센터,서울특별시 강남구 밤고개로24길 60,182.0,127.1053217,37.4708649,03_seoul_cool_shelter.csv
R-00156,cool_shelter,난곡동주민센터,서울특별시 관악구 난곡로30길 40 (신림동),836.94,126.9216424,37.4710115,03_seoul_cool_shelter.csv
R-00157,cool_shelter,동산마을경로당,서울특별시 서초구 동산로12길 8 (양재동),200.0,127.0450651,37.4713541,03_seoul_cool_shelter.csv
R-00158,cool_shelter,세곡보건지소,서울특별시 강남구 자곡로 100  (자곡동),81.0,127.0948048,37.4715468,03_seoul_cool_shelter.csv
R-00159,cool_shelter,양재1동주민센터,서울특별시 서초구 바우뫼로 41 (우면동),70.0,127.0266883,37.4716377,03_seoul_cool_shelter.csv
R-00160,cool_shelter,능인종합사회복지관,서울특별시 강남구  양재대로  340   (개포동),223.0,127.052594,37.4716775,03_seoul_cool_shelter.csv
